"DATE","TIME","C0ppb","CO_sd","Number","Other","Center"
2010-07-15,"21:00:01",128.355,3.43863517465968,60,0,2010-07-15 21:29:31
2010-07-15,"22:00:01",123.345,2.58584314020838,60,0,2010-07-15 22:29:31
2010-07-15,"23:00:01",116.965,3.5607476362154,60,0,2010-07-15 23:29:31
2010-07-16,"00:00:01",130.655319148936,5.36242192648702,47,13,2010-07-16 00:36:01
2010-07-16,"01:00:01",138.038333333333,4.31580036243124,60,0,2010-07-16 01:29:31
2010-07-16,"02:00:01",132.4,3.83242190098098,60,0,2010-07-16 02:29:31
2010-07-16,"03:00:01",139.58,10.4031253452582,60,0,2010-07-16 03:29:31
2010-07-16,"04:00:01",148.127083333333,3.55083086371275,48,12,2010-07-16 04:35:16
2010-07-16,"05:00:01",119.415555555556,11.0865183393565,45,15,2010-07-16 05:36:41
2010-07-16,"06:00:01",107.993333333333,5.04770015315472,60,0,2010-07-16 06:29:31
2010-07-16,"07:00:01",105.103333333333,4.31056906332766,60,0,2010-07-16 07:29:31
2010-07-16,"08:00:01",95.216,5.69683245321468,25,14,2010-07-16 08:37:41
2010-07-16,"09:00:01",88.16,2.96477626560332,60,0,2010-07-16 09:29:31
2010-07-16,"10:00:01",91.635,4.95634587239225,60,0,2010-07-16 10:29:31
2010-07-16,"11:00:01",95.2566666666667,3.78956491696435,60,0,2010-07-16 11:29:31
2010-07-16,"12:00:01",95.5595744680851,4.60267689476405,47,13,2010-07-16 12:36:01
2010-07-16,"13:00:01",83.11,6.36637618765274,60,0,2010-07-16 13:29:31
2010-07-16,"14:00:01",73.4866666666667,4.52887035215921,60,0,2010-07-16 14:29:31
2010-07-16,"15:00:01",64.1808510638298,2.68130713563304,47,13,2010-07-16 15:27:57
2010-07-16,"16:00:01",72.4244444444444,7.26717888103003,45,15,2010-07-16 16:36:41
2010-07-16,"17:00:01",95.8833333333333,9.4111935997381,60,0,2010-07-16 17:29:31
2010-07-16,"18:00:01",107.548333333333,5.13896684421963,60,0,2010-07-16 18:29:31
2010-07-16,"19:00:01",95.7533333333333,5.20431589690732,60,0,2010-07-16 19:29:31
2010-07-16,"20:00:01",114.659574468085,7.63307048522267,47,13,2010-07-16 20:36:01
2010-07-16,"21:00:01",133.181666666667,4.87795079462701,60,0,2010-07-16 21:29:31
2010-07-16,"22:00:01",119.666666666667,5.47817446602662,60,0,2010-07-16 22:29:31
2010-07-16,"23:00:01",107.943333333333,5.25458207361552,60,0,2010-07-16 23:29:31
2010-07-17,"00:00:01",103.18125,3.92404785849315,48,12,2010-07-17 00:35:31
2010-07-17,"01:00:01",98.7066666666667,3.7159238952756,60,0,2010-07-17 01:29:31
2010-07-17,"02:00:01",105.05,2.86276504953053,60,0,2010-07-17 02:29:31
2010-07-17,"03:00:01",127.208888888889,6.30219378190218,45,15,2010-07-17 03:36:41
2010-07-17,"04:00:01",145.570212765957,4.39539852739386,47,13,2010-07-17 04:36:01
2010-07-17,"05:00:01",124.213333333333,14.2167419408397,60,0,2010-07-17 05:29:31
2010-07-17,"06:00:01",117.343333333333,3.55815447624694,60,0,2010-07-17 06:29:31
2010-07-17,"07:00:01",123.288333333333,4.99644251974416,60,0,2010-07-17 07:29:31
2010-07-17,"08:00:01",117.359574468085,4.60829401492891,47,13,2010-07-17 08:36:01
2010-07-17,"09:00:01",104.065,4.93712415432853,60,0,2010-07-17 09:29:31
2010-07-17,"10:00:01",86.5616666666667,5.93987078746259,60,0,2010-07-17 10:29:31
2010-07-17,"11:00:01",88.35,5.55061456362251,60,0,2010-07-17 11:29:31
2010-07-17,"12:00:01",99.7893617021277,4.60157033888636,47,13,2010-07-17 12:36:01
2010-07-17,"13:00:01",91.8166666666667,5.34000465519592,60,0,2010-07-17 13:29:31
2010-07-17,"14:00:01",73.2189189189189,10.2623323599202,37,23,2010-07-17 14:32:57
2010-07-17,"15:00:01",62.5833333333333,1.16002873527627,6,54,2010-07-17 15:50:51
2010-07-17,"16:00:01",66.3128205128205,3.52981134781267,39,21,2010-07-17 16:39:11
2010-07-17,"17:00:01",74.5483333333333,3.15463026207438,60,0,2010-07-17 17:29:31
2010-07-17,"18:00:01",79.6016666666667,6.63344100358348,60,0,2010-07-17 18:29:31
2010-07-17,"19:00:01",101.091666666667,8.13578185103827,60,0,2010-07-17 19:29:31
2010-07-17,"20:00:01",124.263043478261,7.65556758025461,46,14,2010-07-17 20:36:27
2010-07-17,"21:00:01",131.738333333333,5.10453741879585,60,0,2010-07-17 21:29:31
2010-07-17,"22:00:01",133.836666666667,3.53164707657013,60,0,2010-07-17 22:29:31
2010-07-17,"23:00:01",139.581666666667,2.68489129071139,60,0,2010-07-17 23:29:31
2010-07-18,"00:00:01",131.427659574468,4.30927725846072,47,13,2010-07-18 00:36:01
2010-07-18,"01:00:01",127.711111111111,4.6615556427121,45,15,2010-07-18 01:36:41
2010-07-18,"02:00:01",185.878333333333,108.224911903393,60,0,2010-07-18 02:29:31
2010-07-18,"03:00:01",163.028333333333,45.8648533938152,60,0,2010-07-18 03:29:31
2010-07-18,"04:00:01",149.744680851064,3.6772395430267,47,13,2010-07-18 04:36:01
2010-07-18,"05:00:01",141.131666666667,11.8534339109064,60,0,2010-07-18 05:29:31
2010-07-18,"06:00:01",126.075,4.81683576423995,60,0,2010-07-18 06:29:31
2010-07-18,"07:00:01",121.788333333333,3.2840183976583,60,0,2010-07-18 07:29:31
